abbrev,complete,konteks,kategori
1thn,1 tahun,,
2ndino,dua hari,,
ab ,sama,,
abis,habis,,
abis2,habis habi-,,
acc,akun,,
ad ,ada ,,
ada2,ada-ada,,
adakh d sni,adakah disini,,
ade,adik,,
adh,ada ,,
adlh,adalah,,
ahh,sangat,,
ahha,hahaha,,
aing,anjing,,
aj,saja,,
aja,saja,,
ajasih,saja sih,,
aje,saja,,
ajg,anjing,,
ak,aku,,
aka,kakak,,
ala2,seperti,,
allaj,allah,,
alm,almarhum,,
ama,sama,,
ampe,sampai,,
ampe2,sampai-sampai,,
ampir,hampir,,
ancur,hancur,,
angaran,anggaran,,
anj,anjing,,
anjai ,anjing,,
anjayy,anjay,,
anjer,anjing,,
anjink,anjing,,
anjir,anjing,,
ANJIRRRRRRRR,anjing,,
anjr,anjing,,
anw,anyway,,
ap,apa,,
apa2,apa-apa,,
apaga,apa tidak,,
apalgi,apalagi,,
apk,aplikasi,,
aq,aku,,
atm,anjungan tunai mandiri,,
ato,atau,,
ayang,sayang,,
ayel,adil,,
ayok,ayo,,
ayookkk,ayo,,
bab,buang air besar,,
bangett,sangat,,
bawa2,bawa-bawa,,
bbm,bahan bakar minyak,,
bck,bacok,,
bdg,bidang,,
bdo,bodoh,,
bedua,berdua,,
bf,boyfriend,,
bg,bang,,
bg,bagi,,
bg,sangat,,
bgt,banget,,
bgtt,sangat,,
bgtttt,sangat,,
bgtu,begitu,,
bgtz,sangat,,
bgun,bangun,,
bigwin,mulai,,
bkin,bikin,,
bkin,bikin,,
bkn,bukan,,
blg,bilang,,
blm,belum,,
bln,bulan,,
blom,belum,,
blt,bantuan langsung tunai,,
blum,belum,,
bm,banyak mau,,
bner,benar,,
bnget,banget,,
bngke,bangkai,,
bocil,bocah kecil,,
bodo,bodoh,,
bonek,bondo nekat,,
bpknya,bapaknya,,
bpom,badan pemeriksaan obat dan makanan,,
br ,biar  ,,
brg2,barang-barang,,
brgkt,berangkat,,
brmain,bermain,,
brng,bareng,,
brngkt,berangkat,,
brp ,berapa,,
brpikir,berpikir,,
brsn,barusan,,
bs ,bisa,,
bsa,bisa,,
bsk,besok,,
bsr,besar,,
btgtu,begitu,,
btw,by the way,,
bucin,butuh cinta,,
bwat,buat,,
byk ,banyak,,
camat pagi,selamat pagi,,
cantiq,cantik,,
capaiab,mencapai,,
capres,calon presiden,,
cb,coba,,
cem,macam,,
cita2ku,cita-citaku,,
ckp,cakap,,
cm,cuma,,
cma,cuma,,
co ,check out,,
co ,cowok,,
cocok2,cocok-cocok,,
congrats,congratulations ,,
cowo,cowok,,
critanya,ceritanya,,
curhat,curahan hati,,
cwek,cewek,,
d ,di,,
dah ,sudah,,
dahh,selamat tinggal,,
dannn,dan,,
dapett,dapat,,
dapett,dapat,,
dek,adik,,
dekh,adik,,
dg,dengan,,
dgn,dengan,,
dh,dahi,,
di rmh,di rumah,,
diaa,dia,,
dik,adik,,
dikit,sedikit,,
dipake,dipakai,,
disebut2,disebut-sebut,,
dkt,dekat,,
dktan,berdekatan,,
dl,dulu,,
dll,dan lain-ain,,
dlm,dalam,,
dlu,dulu,,
dm,direct message,,
dm,dimana,,
dpt,dapat,,
dr  ,dari,,
dri,dari,,
drpd,daripada,,
drun,kadal gurun,,
dsna,disana,,
dst,dan setersunya,,
dtg,datang,,
duh,haduh,,
duren,durian,,
egk,tidak,,
ego,egois,,
elu,kamu,,
emang ,memang,,
emg,memang,,
enakny,enaknya,,
enggak,tidak,,
enih,ini,,
esia,isi ya,,
etdah,busen dah,,
eth,ethereum,,
ewallet,contohnya,,
fav,favorit,,
fs,bisa,,
g,tidak,,
ga,tidak,,
ga mikir ampe,tidak berpikir sampai,,
gaakan,tidak akan,,
gabener,tidak benar,,
gabisa,tidak bisa,,
gaenak,tidak enak,,
gag,tidak,,
gajelas,tidak jelas,,
gak,tidak,,
gaksi,tidak sih,,
gakuaaatttt,tidak kuat,,
gamauu,tidak mau,,
gara2,gara-gara,,
gasuka,tidak suka,,
gatau,tidak tahu,,
gausah,tidak perlu,,
gbs,tidak bisa,,
gda,tidak ada,,
gede,besar,,
gedi,besar,,
ges,teman-teman,,
gewes,get well soon,,
gf,girlfriend,,
gini,begini,,
git,gitu,,
gitarrrrrrrr,gitar,,
gituulohhh,begitu,,
gk,tidak,,
gmn,bagaimana,,
